id,"name",artist_id,"created_at","updated_at",display
222,"乙女 パスタに感動",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
223,"ショートカット",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
224,"パン屋さんのアルバイト",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
225,"恋をしちゃいました！",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
226,"恋にBooing ブー！",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
227,"初恋の貴方へ",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
228,"チュッ！夏パ〜ティ",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
229,"自転車チリリン",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
230,"有頂天LOVE",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
231,"スマイル音丼",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
232,"タチアガール",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
233,"ブギートレイン'11",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
234,"かっちょ良い歌",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
235,"手を握って歩きたい",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
236,"プリーズ ミニスカ ポストウーマン！",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
237,"こんにちは こんばんは",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
238,"チョトマテクダサイ！",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
239,"涙GIRL",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
240,"チャンス到来！",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
241,"恋人は心の応援団",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
242,"ドットビキニ",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
243,"すまいるブルース",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
244,"黄色い自転車とサンドウィッチ",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
245,"君は自転車 私は電車で帰宅",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
246,"好きよ、純情反抗期。",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
247,"私、ちょいとカワイイ裏番長",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
248,"寒いね。",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
249,"どうしよう",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
250,"旅立ちの春が来た",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
251,"さよなら さよなら さよなら",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
252,"ねぇ 先輩",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
253,"夕暮れ 恋の時間",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
254,"私の心",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
255,"天真爛漫",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
256,"大人の途中",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
257,"新・日本のすすめ！",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
258,"ヤッタルチャン",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
259,"新しい私になれ！",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
